Time North East
11:18:57 4734004.948 268449.807
11:18:59 4734005.347 268445.289
11:19:01 4734005.480 268442.242
11:19:03 4734007.651 268438.285
11:19:05 4734008.507 268433.919
11:19:07 4734011.878 268431.937
11:19:09 4734012.287 268427.123
11:19:11 4734015.140 268423.075
11:19:13 4734015.858 268418.226
11:19:15 4734018.594 268415.858
11:19:17 4734018.522 268410.619
11:19:19 4734020.808 268406.916
11:19:21 4734022.005 268402.538
11:19:23 4734025.425 268398.167
11:19:25 4734025.677 268393.417
11:19:27 4734028.556 268391.373
11:19:29 4734028.903 268386.535
11:19:31 4734031.731 268382.326
11:19:33 4734032.251 268376.969
11:19:35 4734034.358 268373.055
11:19:37 4734035.291 268368.259
11:19:39 4734038.055 268366.872
11:19:41 4734039.313 268361.586
11:19:43 4734041.504 268357.037
11:19:45 4734041.538 268353.281
11:19:47 4734045.867 268348.508
11:19:49 4734045.536 268343.647
11:19:51 4734048.282 268341.872
11:19:53 4734048.998 268337.091
11:19:55 4734048.808 268332.645
11:19:57 4734052.202 268328.113
11:19:59 4734052.238 268323.378
11:20:01 4734055.228 268318.925
11:20:03 4734055.289 268317.105
11:20:05 4734059.148 268312.544
11:20:07 4734059.133 268307.466
11:20:09 4734058.548 268303.735
11:20:11 4734062.933 268299.145
11:20:13 4734062.765 268296.794
11:20:15 4734065.911 268292.300
11:20:17 4734065.996 268287.909
11:20:19 4734069.450 268283.470
11:20:21 4734069.614 268278.580
11:20:23 4734069.291 268274.380
11:20:25 4734069.933 268269.984
11:20:27 4734070.277 268265.259
11:20:29 4734070.188 268260.543
11:20:31 4734070.064 268257.784
11:20:33 4734069.563 268253.395
11:20:35 4734069.943 268249.423
11:20:37 4734070.800 268246.902
11:20:39 4734073.672 268242.307
11:20:41 4734073.538 268240.777
11:20:43 4734074.654 268237.900
11:20:45 4734077.028 268233.403
11:20:47 4734077.084 268230.809
11:20:49 4734076.797 268226.473
11:20:51 4734080.263 268224.426
11:20:53 4734080.567 268219.973
11:20:55 4734083.854 268217.738
11:20:57 4734083.923 268212.913
11:20:59 4734083.615 268211.036
11:21:01 4734084.334 268206.187
11:21:03 4734087.064 268203.979
11:21:05 4734087.096 268202.113
11:21:07 4734087.734 268199.653
11:21:09 4734087.602 268195.299
11:21:11 4734091.028 268193.524
11:21:13 4734091.639 268190.949
11:21:15 4734091.287 268188.569
11:21:17 4734094.411 268183.824
11:21:19 4734094.085 268181.559
11:21:21 4734094.204 268178.944
11:21:23 4734093.812 268176.813
11:21:25 4734094.095 268174.819
11:21:27 4734097.621 268172.820
11:21:29 4734100.952 268172.043
11:21:31 4734099.734 268172.435
11:21:33 4734103.472 268170.557
11:21:35 4734106.936 268170.423
11:21:37 4734109.596 268173.062
11:21:39 4734113.042 268173.451
11:21:41 4734113.354 268175.192
11:21:43 4734112.526 268177.783
11:21:45 4734112.859 268181.642
11:21:47 4734111.822 268184.044
11:21:49 4734111.866 268189.168
11:21:51 4734109.484 268191.115
11:21:53 4734108.999 268195.448
11:21:55 4734108.638 268197.918
11:21:57 4734105.665 268202.759
11:21:59 4734106.111 268205.119
11:22:01 4734103.043 268207.293
11:22:03 4734102.882 268212.070
11:22:05 4734103.144 268213.490
11:22:07 4734098.734 268217.896
11:22:09 4734098.653 268220.307
11:22:11 4734095.605 268224.622
11:22:13 4734095.265 268229.256
11:22:15 4734095.315 268231.443
11:22:17 4734091.935 268236.453
11:22:19 4734092.635 268238.594
11:22:21 4734089.186 268242.896
11:22:23 4734088.843 268247.598
11:22:25 4734088.990 268249.675
11:22:27 4734085.482 268253.906
11:22:29 4734085.045 268258.628
11:22:31 4734085.235 268260.342
11:22:33 4734081.196 268265.648
11:22:35 4734082.345 268267.304
11:22:37 4734081.269 268272.687
11:22:39 4734079.366 268272.350
11:22:41 4734075.987 268269.959
11:22:43 4734075.977 268270.255
11:22:45 4734079.561 268267.461
11:22:47 4734078.772 268265.203
11:22:49 4734078.910 268262.930
11:22:51 4734078.975 268260.974
11:22:53 4734082.648 268256.453
11:22:55 4734082.682 268251.740
11:22:57 4734082.539 268249.550
11:22:59 4734082.815 268245.005
11:23:01 4734086.044 268240.810
11:23:03 4734086.452 268238.774
